Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Malzgasse 14,4052,Basel,3.5,81,2010
Engelgasse 45,4052,Basel,5.5,193,6280
Maiengasse 12,4056,Basel,2,51,1500
,4055,Basel,3.5,88,1690
Amerbachstrasse 23,4057,Basel,2.5,57,1730
Freiburgerstrasse 9,4057,Basel,2.5,,1600
Utengasse 39,4058,Basel,1,30,890
Spalenring 120,4055,Basel,2,68,1575
,4054,Basel,3,73,1610
Gotthelfstrasse 96,4054,Basel,1,34,985
Riehenstrasse 157,4058,Basel,2.5,64,1450
Kraftstrasse 16,4056,Basel,2.5,89,1660
Dornacherstrasse 329,4053,Basel,1,,1100
Kanonengasse 18,4051,Basel,5.5,121,2940
Laufenstrasse 41,4053,Basel,2.5,59,1690
Laufenburgerstr. 10,4058,Basel,3,75,1585
Wasgenring 91,4055,Basel,4,89,1720
Hiltalingerstr.5,4057,Basel,2,57,1290
Neuweilerstrasse 111,4054,Basel,2,61,1400
Lothringerstrasse 55,4056,Basel,2,44,1100
Farnsburgerstrasse 6,4052,Basel,3.5,85,2200
Gundeldingerrain 10 (TEC),4053,Basel,3,85,1703
Reinacherstr. 70,4053,Basel,3,74,1480
Münchensteinerstr. 6,4052,Basel,1.5,55,1445
Dornacherstrasse 240,4053,Basel,1,,1055
Byfangweg 1,4051,Basel,2,57,1330
Blochmonterstr. 4,4054,Basel,2.5,80,1946
Holeestr. 108,4054,Basel,3,78,1735
Kanonengasse 18,4051,Basel,4.5,107,2825
Dornacherstrasse 149,4053,Basel,3.5,86,1800
Frobenstrasse 37,4053,Basel,1,31,1070
Bartenheimerstrasse 45,4055,Basel,2,44,1260
Hammerstrasse 73,4057,Basel,3,57,1360
Hüningerstrasse 3,4056,Basel,2.5,78,2030
Wanderstrasse 91,4054,Basel,4.5,140,2600
Dornacherstrasse 34,4053,Basel,2,57,1310
Erlenstrasse 47,4058,Basel,2.5,67,1490
Claragraben 138,4057,Basel,2.5,68,1580
Schönaustrasse 47,4058,Basel,2,50,1025
Gilgenbergerstrasse 9,4053,Basel,3.5,77,1540
Holeestr. 108,4054,Basel,2,63,1400
Allschwilerstrasse 31,4055,Basel,2.5,46,1350
Solothurnerstrasse 62,4053,Basel,3,68,1640
Saint-Louis-Strasse 23-29,4056,Basel,2.5,72,1885
Saint-Louis-Strasse 23-29,4056,Basel,1.5,61,1635
Saint-Louis-Strasse 23-29,4056,Basel,3.5,69,1815
Saint-Louis-Strasse 23-29,4056,Basel,2.5,55,1425
Dornacherstrasse 240,4053,Basel,2.5,,1515
Waldshuterstr. 10,4058,Basel,3,70,1510
Eggfluhstrasse 12,4054,Basel,2,70,1390
Baumgartenweg 14,4053,Basel,3,64,1640
Oltingerstrasse 33,4055,Basel,1,34,820
