Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF],Preis/Fläche [CHF/m2]
Fritz Fleiner-Weg 9,8044,Zürich,2.5,72.0,3210.0,44.58
Langgrütstr. 173,8047,Zürich,3,66.0,1955.0,29.62
Luegislandstr.,8051,Zürich,3,,1698.0,
Berninastr. 2,8057,Zürich,3.5,,2240.0,
Titlisstr.,8032,Zürich,2.5,47.0,1820.0,38.72
Heinrichstr. 95,8005,Zürich,4,80.0,1976.0,24.7
Aprikosenstr. 30,8051,Zürich,2.5,,1780.0,
,8032,Zürich,3,60.0,2240.0,37.33
Karstlernstr. 14,8048,Zürich,1,34.0,1370.0,40.29
Freyastasse,8004,Zürich,1,30.0,1090.0,36.33
Höschgasse 44,8008,Zürich,3.5,65.0,2780.0,42.77
Waffenplatzstr. 67,8002,Zürich,3,70.0,2500.0,35.71
Albertstr. 9,8005,Zürich,3.5,75.0,2500.0,33.33
Trottenstr. 73,8037,Zürich,2.5,48.0,1730.0,36.04
Ausserdorfstr. 48,8052,Zürich,3.5,86.0,2540.0,29.53
Pfingstweidstr. 106A,8005,Zürich,2.5,104.0,3550.0,34.13
Ottikerstr. 11,8006,Zürich,4,125.0,4990.0,39.92
Nordstr. 290,8037,Zürich,4.5,70.0,2950.0,42.14
Triemlistr. 85 Flat Swap,8047,Zürich,3,,1687.0,
Im Sträler 26,8047,Zürich,3,75.0,2490.0,33.2
Döltschiweg 23,8055,Zürich,4.5,123.0,4470.0,36.34
,8047,Zürich,1.5,,1325.0,
Goldbrunnenstr. 139,8003,Zürich,1.5,,1490.0,
,8049,Zürich,4.5,85.0,3160.0,37.18
Basteiplatz,8001,Zürich,3.5,86.0,3384.0,39.35
Oerlikonerstr. 85,8057,Zürich,2.5,73.0,3070.0,42.05
Fellenbergstr. 319,8047,Zürich,3.5,72.0,2190.0,30.42
Dennlerstr. 24,8047,Zürich,4.5,94.0,2350.0,25.0
Stadelhoferstr. 28,8001,Zürich,6,193.0,15900.0,82.38
Hammerstr. 10,8008,Zürich,2,57.0,2390.0,41.93
Thujastr.,8038,Zürich,2.5,60.0,1800.0,30.0
Limmattalstr. 15,8049,Zürich,4.5,85.0,2700.0,31.76
Hungerbergstr. 33,8046,Zürich,3,60.0,1811.0,30.18
Bombachstr. 4A-H,8049,Zürich,2.5,51.0,2120.0,41.57
Steinhaldenstr.,8002,Zürich,3.5,,2650.0,
,8051,Zürich,3.5,85.0,1790.0,21.06
,8008,Zürich,3.5,80.0,3600.0,45.0
Bernerstr. Nord 172,8064,Zürich,3,,2090.0,
Winterthurerstr. 344,8057,Zürich,3.5,80.0,2060.0,25.75
Georg Kempf-Str. 20,8046,Zürich,4.5,85.0,2450.0,28.82
Innere Margarethenstr. 9,4051,Basel,1,37.0,985.0,26.62
Jacob Burckhardt-Str. 75,4052,Basel,2,51.0,1380.0,27.06
Spalenring 139,4055,Basel,1,29.0,930.0,32.07
Burgfelderplatz,4055,Basel,3.5,130.0,1930.0,14.85
Giornicostr. 5,4053,Basel,3,60.0,1180.0,19.67
Güterstr.311,4053,Basel,2,62.0,1395.0,22.5
Bruderholzstr. 40,4053,Basel,3,89.0,1795.0,20.17
Gerbergasse 26,4001,Basel,1.5,51.0,1565.0,30.69
J.J. Balmer-Str. 6,4053,Basel,2.5,47.0,1190.0,25.32
Bäumlihofstr. 92,4058,Basel,2,54.0,1450.0,26.85
Oberwilerstr. 136,4054,Basel,3.5,80.0,1600.0,20.0
Steinengraben 71,4051,Basel,2,58.0,1600.0,27.59
Hammerstr. 163,4057,Basel,2,37.0,1540.0,41.62
Güterstr. 199,4053,Basel,2.5,48.0,1340.0,27.92
Steinengraben 71,4051,Basel,1,35.0,980.0,28.0
J.J. Balmer-Str. 7,4053,Basel,1.5,30.0,1030.0,34.33
Erlenmattstr. 81,4058,Basel,3.5,85.0,2200.0,25.88
Gundeldingerstr. 129,4053,Basel,5,123.0,2850.0,23.17
Rütlistr. 2,4051,Basel,3.5,72.0,1895.0,26.32
